sgis_adm_cd,resident_adm_code,district_name,adm_name,full_adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,area_km2,elderly_density_per_km2,green_ratio_percent,shelter_count,shelter_capacity_total,shelters_per_1000_elderly,capacity_per_1000_elderly,coverage_ratio_500m_area,coverage_gap_500m_area,nearest_shelter_distance_m_centroid,estimated_covered_elderly_area,estimated_uncovered_elderly_area,grid_cell_count_100m,grid_population_total,grid_accessibility_index_exp_d_300,grid_accessibility_lack_score,grid_population_weighted_accessibility_index,grid_population_weighted_accessibility_lack_score,grid_mean_nearest_shelter_distance_m,grid_beyond_500m_ratio,heat_score,vulnerability_score,access_score_existing_area_based,priority_score_existing_pipeline,shelter_source_mode,boundary_source
22070730,2729057200,달서구,용산2동,대구광역시 달서구 용산2동,24538,5110,1967,810,117,2,8006,0.326269,1.562315,5124.446,38.4,6,786.0,0.749,98.176,0.817203,0.182797,185.426,6542.5,1463.5,155,25754.0,0.409137,59.086,0.458267,54.173,316.742,0.174194,0.0,39.851,10.442,17.08,cache,SGIS 2025 adm_cd=22 low_search=2
22070770,2729060100,달서구,월성1동,대구광역시 달서구 월성1동,39381,3216,1707,590,124,0,5637,0.14314,1.907374,2955.372,20.3,4,174.0,0.71,30.867,0.713544,0.286456,90.22,4022.2,1614.8,191,39204.0,0.331477,66.852,0.402687,59.731,397.431,0.293194,0.0,12.077,11.702,7.738,cache,SGIS 2025 adm_cd=22 low_search=2
22070630,2729060200,달서구,월성2동,대구광역시 달서구 월성2동,13389,2828,2453,1105,168,1,6555,0.489581,6.939133,944.642,16.8,7,301.0,1.068,45.919,0.196623,0.803377,1036.645,1288.9,5266.1,695,15392.0,0.134083,86.592,0.596356,40.364,846.821,0.802878,0.0,39.486,55.022,30.327,cache,SGIS 2025 adm_cd=22 low_search=2
22070790,2729061700,달서구,유천동,대구광역시 달서구 유천동,32849,2302,1004,299,31,1,3637,0.110719,1.243961,2923.725,18.6,1,60.0,0.275,16.497,0.819399,0.180601,75.361,2980.2,656.8,126,32264.0,0.333157,66.684,0.360922,63.908,361.285,0.18254,0.0,11.947,7.494,6.43,cache,SGIS 2025 adm_cd=22 low_search=2
22070600,2729057600,달서구,이곡1동,대구광역시 달서구 이곡1동,19599,3763,1485,623,103,2,5976,0.304914,1.847178,3235.206,38.9,4,221.0,0.669,36.981,0.813643,0.186357,320.703,4862.3,1113.7,184,21100.0,0.384991,61.501,0.448561,55.144,337.118,0.201087,0.0,29.866,14.095,14.682,cache,SGIS 2025 adm_cd=22 low_search=2
22070740,2729057700,달서구,이곡2동,대구광역시 달서구 이곡2동,14013,3182,1422,486,65,0,5155,0.367873,2.198668,2344.601,23.9,7,265.0,1.358,51.406,0.526066,0.473934,280.991,2711.9,2443.1,216,15359.0,0.301927,69.807,0.543513,45.649,482.668,0.458333,0.0,32.694,23.44,18.475,cache,SGIS 2025 adm_cd=22 low_search=2
22070590,2729056800,달서구,장기동,대구광역시 달서구 장기동,15302,2605,1441,575,73,2,4696,0.306888,2.746845,1709.598,25.2,5,229.0,1.065,48.765,0.704859,0.295141,541.95,3310.0,1386.0,276,16460.0,0.328612,67.139,0.441418,55.858,400.68,0.300725,0.0,23.785,23.787,15.461,cache,SGIS 2025 adm_cd=22 low_search=2
22070580,2729056300,달서구,죽전동,대구광역시 달서구 죽전동,14290,2531,1413,515,72,2,4533,0.317215,0.776501,5837.728,2.8,5,161.0,1.103,35.517,1.0,0.0,235.632,4533.0,0.0,78,14042.0,0.578289,42.171,0.558436,44.156,176.384,0.0,0.0,41.855,5.152,16.195,cache,SGIS 2025 adm_cd=22 low_search=2
22070780,2729061500,달서구,진천동,대구광역시 달서구 진천동,49142,8211,4422,1727,316,3,14679,0.298706,5.061018,2900.405,51.9,6,336.0,0.409,22.89,0.438926,0.561074,576.107,6443.0,8236.0,506,49008.0,0.235498,76.45,0.412059,58.794,606.147,0.565217,0.0,27.846,34.276,20.029,cache,SGIS 2025 adm_cd=22 low_search=2
22510310,2771031000,달성군,가창면,대구광역시 달성군 가창면,6692,1609,1297,620,183,7,3716,0.55529,110.016249,33.777,87.2,29,1029.0,7.804,276.911,0.15707,0.84293,697.473,583.7,3132.3,11002,7708.0,0.08853,91.147,0.508313,49.169,1215.923,0.842756,0.0,42.514,47.612,29.164,cache,SGIS 2025 adm_cd=22 low_search=2
22510360,2771038000,달성군,구지면,대구광역시 달성군 구지면,18806,2111,1120,507,105,1,3844,0.204403,38.819287,99.023,43.9,39,1256.0,10.146,326.743,0.4227,0.5773,468.195,1624.9,2219.1,3881,20822.0,0.21711,78.289,0.482607,51.739,591.896,0.574852,0.0,6.576,32.05,11.917,cache,SGIS 2025 adm_cd=22 low_search=2
22510120,2771025300,달성군,논공읍,대구광역시 달성군 논공읍,14736,3108,1499,698,113,2,5420,0.367807,44.526173,121.726,58.6,23,973.0,4.244,179.52,0.227081,0.772919,983.745,1230.8,4189.2,4455,20329.0,0.126069,87.393,0.508512,49.149,928.052,0.771268,0.0,23.531,52.545,23.999,cache,SGIS 2025 adm_cd=22 low_search=2
22510130,2771025600,달성군,다사읍,대구광역시 달성군 다사읍,88806,11199,5409,1773,247,8,18636,0.209851,36.166874,515.278,57.0,36,2057.0,1.932,110.378,0.306379,0.693621,892.243,5709.7,12926.3,3614,90910.0,0.174222,82.578,0.453009,54.699,701.874,0.691754,0.0,8.853,47.298,17.288,cache,SGIS 2025 adm_cd=22 low_search=2
